CustomerID,FullName,DOB,Gender,City,State,Email,Phone,CustomerSegment,Status,JoinDate
56,Patricia Hall,07-02-1978,Male,Nicolehaven,Colorado,thomas93@example.org,831.424.5995,Premium,Active,13-12-2021
57,Sean Watson MD,19-04-1965,Female,East Leslietown,Arizona,juan90@example.org,8393799344,Premium,Active,21-01-2026
58,Tracey King,24-04-2007,Male,West Jamesburgh,Colorado,dmiller@example.org,-11038,VIP,Active,16-04-2025
59,Mckenzie Long,22-05-1984,Female,Atkinsonstad,Illinois,victoriawalker@example.org,750-280-0487x012,Regular,Active,01-09-2024
60,Kevin Chang,19-11-2006,Male,South Marioview,Texas,emartinez@example.com,(573)320-7302,VIP,Active,05-11-2024
61,Brenda West,24-07-2006,Female,South Meganland,Illinois,ucompton@example.org,615.825.3027x8272,New,Active,12-10-2025
62,Ryan Cook,25-03-1975,Male,West Travis,North Carolina,stephen71@example.org,303.887.4143x56433,Regular,Active,14-04-2022
63,Nicholas Carter,20-11-1967,Female,South Lindsaymouth,New York,scottclarke@example.net,525-460-6349x2228,Regular,Active,04-12-2025
64,Lee Simpson,28-04-1962,Male,Gregoryberg,California,brandiharris@example.org,001-986-408-5547x106,Premium,Active,28-11-2021
65,Ronald Richardson,04-11-2002,Female,Lake Nathan,Michigan,kellysarah@example.net,315-935-6904,Regular,Active,30-10-2022
66,Brandy Sanchez,22-04-1977,Male,East Christineburgh,Florida,collinsangela@example.org,5139409978,Premium,Active,24-08-2021
67,Amber Martinez,10-09-1956,Male,Willisview,Michigan,martinezrichard@example.org,-10886,Regular,Active,17-10-2025
68,Amanda Waller,26-02-1992,Male,Port Michaelfurt,Pennsylvania,marybaldwin@example.net,468-305-8253x60518,Regular,Active,15-06-2024
69,Courtney Fisher,25-12-1969,Female,Frankmouth,Arizona,lambnicole@example.org,6943948091,VIP,Active,04-07-2022
70,Donna Torres,27-09-1981,Male,North Bruce,Florida,christopher98@example.org,618.924.6944x318,Premium,Active,26-08-2023
71,Christina Page,13-02-1987,Female,Snowport,Illinois,tharrison@example.org,253.738.8696,Regular,Active,28-04-2024
72,Gabriel Nelson,04-04-1960,Female,West Brian,New York,moorecarl@example.com,708.467.5183x265,Premium,Active,14-03-2026
73,Samantha Holmes,16-01-1991,Female,Adamsberg,Arizona,apitts@example.com,001-989-917-6926x49916,Regular,Active,19-07-2024
74,Joseph Larson,21-10-1967,Male,Adamfort,Georgia,lwallace@example.net,526-896-9315x5935,Regular,Active,03-04-2023
75,David Huang,30-12-2003,Female,Samanthaport,California,hholmes@example.net,+1-866-775-0957x01831,Regular,Active,21-03-2026
76,Brittany Lopez,29-07-1980,Female,Tuckermouth,Michigan,heather12@example.com,551-548-2145x86284,Regular,Inactive,15-09-2024
77,Ashley Hudson,04-04-1975,Male,Lake Roberttown,Florida,jennifer80@example.com,(419)500-3278x9488,Premium,Active,25-10-2021
78,Peter Rodriguez,10-03-1975,Female,North Georgehaven,Massachusetts,nmorrow@example.com,2096523542,Regular,Inactive,12-02-2022
79,Amy Lee,29-03-1988,Female,Smithbury,New York,caguilar@example.com,7932330292,Premium,Active,29-09-2025
80,Lance Choi,14-06-2004,Female,Pettyland,Colorado,ericaleonard@example.net,464.767.0312,Regular,Active,13-07-2025
81,Jennifer Cox,05-04-1973,Female,Amandafurt,Pennsylvania,richard11@example.com,(283)763-7453x604,Regular,Active,22-07-2021
82,Craig Gardner,24-10-1998,Female,New Scott,Massachusetts,erikgomez@example.net,(969)734-7833x7249,Regular,Active,16-09-2022
83,Beth Christensen,08-08-1982,Female,New Melissafurt,California,sandovalashley@example.com,7616235311,Regular,Active,04-07-2023
84,Dylan Montoya,02-02-1962,Female,Campbellfurt,New York,ohampton@example.org,420-655-6073x651,New,Active,19-01-2025
85,Michelle Williams,08-06-1957,Male,New Fernandoborough,Arizona,eric08@example.com,+1-629-239-7846x9501,Regular,Active,03-01-2026
86,Valerie Becker,11-01-2003,Female,Port Lucasstad,Florida,butlerjulie@example.net,+1-234-581-5675x878,Regular,Active,24-05-2024
87,Bethany Gill,22-03-1976,Female,Lake Mandyside,Texas,greg23@example.net,930-925-5613x422,Regular,Active,14-01-2024
88,Jill Boyle,16-10-1964,Female,Helenberg,Illinois,brianaallen@example.net,386-622-9763,Regular,Active,16-09-2022
89,Steven Torres,07-04-1951,Female,Lake Kyleville,Georgia,markharrison@example.com,928-810-0771x5941,VIP,Active,29-11-2023
90,Ian Davis,28-10-1979,Female,Courtneyview,California,christianburgess@example.org,001-762-745-2821x49562,VIP,Active,16-05-2025
91,Sara King,02-05-1964,Male,North Danielfurt,Florida,duffytroy@example.com,001-224-999-1232x2761,Regular,Active,10-03-2022
92,Andrew Bishop,15-04-1979,Female,Thomasland,Illinois,robertsonrobert@example.com,770-522-6407,Premium,Active,05-08-2022
93,Jessica Nichols,26-08-1978,Male,South Suzanne,Illinois,shepherdbrian@example.net,594-999-6572x45803,Regular,Active,09-03-2024
94,Kristen Hahn,02-01-1992,Female,Alyssashire,Arizona,hsanders@example.org,(638)913-4138,Regular,Active,29-03-2022
95,Melissa Fitzgerald,21-02-1964,Female,Port Rickyland,Colorado,gtaylor@example.net,218.817.6823x97125,Premium,Active,09-10-2023
96,Kristopher Lewis,25-09-1964,Female,Davidberg,New York,fkerr@example.net,391.552.5504,Regular,Active,08-05-2023
97,Mindy Williams,25-11-1972,Male,Coryside,Virginia,leah10@example.net,245.937.0971,Premium,Active,22-02-2025
98,Julian Roberts,22-02-1957,Female,Huffshire,Pennsylvania,amanda47@example.org,4528787001,Regular,Active,16-06-2025
99,Joan Perez,05-02-2001,Male,West Markborough,Florida,patricia99@example.org,725.275.9765,Regular,Active,11-04-2026
100,David Walter,26-08-1970,Female,Lake Dustinberg,North Carolina,patrick18@example.com,(399)789-2081x369,Regular,Inactive,24-11-2023
101,Robert Thomas,13-01-1998,Male,West Sydneymouth,California,william35@example.net,001-465-405-5785x335,Premium,Active,02-06-2025
102,Jennifer Foster,04-11-1962,Female,Sarahshire,Georgia,thomasjennifer@example.com,001-998-751-3919x2495,Regular,Active,21-11-2025
103,Tammy Roberson,02-10-2008,Male,Rachelview,Virginia,amy24@example.org,001-503-206-7394x813,Regular,Inactive,29-11-2024
104,Robert Hutchinson,23-04-2008,Male,Jennifertown,Georgia,josephday@example.org,+1-850-235-5076x9520,Regular,Inactive,22-06-2024
105,Victoria Ross,02-10-1955,Female,Markstown,Colorado,anne50@example.com,+1-852-710-2328x155,Premium,Active,13-07-2024
106,Mary Guzman,03-11-1982,Female,Jerryview,California,xhines@example.net,987-384-5884x2408,Regular,Active,30-05-2024
107,William Perez,04-11-1989,Female,North Colleenville,Virginia,danielsjamie@example.org,595-722-2805x377,Regular,Active,29-04-2025
108,Richard Johnson,01-08-2004,Female,North Lindsayfurt,Pennsylvania,brian96@example.com,(630)640-4633x5356,Regular,Active,07-06-2023
109,Dr. Karen Peck,15-04-2003,Male,Stephanieberg,Illinois,justin50@example.com,525.799.7390,Premium,Active,21-12-2023
110,Jeffrey Taylor,17-04-1953,Female,Ginaville,Florida,terrismith@example.com,(785)812-7616,Premium,Active,28-04-2025
111,David Conner,09-06-2003,Male,North Dennisbury,North Carolina,uhale@example.org,2514117286,Premium,Active,03-05-2026
112,Kimberly Holder,16-12-1963,Female,Maryland,Illinois,tara31@example.com,001-720-644-1038x068,Premium,Active,05-03-2024
113,Kimberly Dunn,27-02-1951,Female,Haasview,New York,ihenderson@example.com,(526)566-2039x8496,Regular,Active,25-11-2024
114,Amanda Moran,30-04-1990,Male,Bensonmouth,Colorado,udunn@example.com,001-507-878-5986,Regular,Active,11-12-2021
115,Deborah Keller,01-11-1971,Male,Charlesside,California,sandracannon@example.com,458.797.9321x8583,Premium,Inactive,01-11-2021
116,Julia Davidson,02-11-1964,Female,West Patrickchester,Washington,ortizjacqueline@example.com,855-688-4714,Premium,Inactive,14-05-2022
117,John Yates,04-05-2010,Female,North Erin,North Carolina,tracy39@example.com,656.740.8309x40924,Premium,Active,08-12-2024
118,Joseph Snyder,09-11-1965,Female,East Davidport,Arizona,samantha76@example.com,4465694536,Regular,Active,28-10-2022
119,Amy Harris,08-03-2009,Female,North Katelynfurt,Florida,ffox@example.net,001-901-499-7766x72176,Regular,Active,15-09-2025
120,Natalie Morales,24-03-1981,Female,Lake Kellymouth,North Carolina,hcarrillo@example.org,919.201.7139,Regular,Active,29-07-2025
121,Scott Pierce,17-12-1999,Female,Bridgesberg,Massachusetts,omontoya@example.org,653-880-2848x41564,Premium,Active,02-07-2022
122,Eric Delacruz,07-03-1981,Female,Gatesview,Florida,james03@example.net,+1-257-379-2553x7805,Regular,Inactive,02-08-2023
123,Donald Flynn,21-01-1975,Female,Jamesborough,Georgia,usullivan@example.com,930.426.1021,Regular,Active,18-04-2024
124,Carly Walker,16-05-1951,Female,Laurieside,New York,dustinhardin@example.org,417.213.1063x47620,New,Active,24-01-2025
125,Shelly Robles,17-02-1960,Male,West Rhonda,North Carolina,ana32@example.net,360.556.2438,Regular,Inactive,18-09-2023
126,Michael Wilson,22-05-1978,Male,Davidborough,Illinois,robertsmichael@example.com,537-444-9981,New,Active,05-02-2025
127,Sue Riley,01-10-1978,Male,Antonioville,Illinois,coopersheryl@example.net,302-955-7735x5214,Regular,Active,17-04-2025
128,Linda Murray,05-04-1956,Male,North Williamville,Colorado,ilucas@example.com,001-251-952-5215,Regular,Active,25-03-2024
129,David Hernandez,21-09-1968,Female,Amandaville,New York,taylor29@example.net,4845534683,New,Inactive,21-10-2022
130,Brandon Rodriguez,12-02-1994,Female,South Latoyashire,Georgia,haleyperez@example.org,(340)366-9814,Regular,Inactive,24-02-2024
131,Reginald Palmer,10-05-1990,Female,Port Johnmouth,Texas,williamschristine@example.net,(845)817-9205,Regular,Active,03-08-2022
132,Jorge Jackson,15-06-1952,Female,Kaylaborough,Washington,saraparks@example.net,307-507-8519,Regular,Active,25-05-2025
133,Jason Curtis,09-07-2002,Male,Brandifort,Michigan,staylor@example.com,3793266849,Regular,Active,07-10-2021
134,Ryan Hall,17-08-2008,Male,New Stephen,Georgia,natalieandrews@example.net,001-606-265-6613x596,Regular,Active,23-05-2025
135,Sherry Alvarez,19-07-1968,Female,Jacobsmouth,Oregon,matthewlewis@example.com,(379)504-5142x7683,Regular,Active,27-06-2024
136,Cathy Nelson,01-07-1991,Male,West Gary,Massachusetts,pamela96@example.com,958.693.2680x0213,Premium,Active,21-09-2021
137,Dr. Nicole Wade,19-09-1994,Female,Port Patricia,Massachusetts,njones@example.com,244.354.6807x750,Premium,Active,04-11-2024
138,Stephanie Daniel,19-12-1983,Female,Johnsonmouth,North Carolina,rtaylor@example.org,599.680.6294,VIP,Active,21-09-2023
139,Jennifer Miller,22-11-1996,Male,Vasquezstad,Colorado,mario97@example.org,-1337,Regular,Active,24-08-2021
140,Paula Ward,22-12-2004,Male,West Kyle,Michigan,ugonzalez@example.com,(814)456-5674x1397,Regular,Active,28-05-2024
141,Peter Harrison,29-03-1997,Female,Goodwinview,Massachusetts,zcox@example.net,514-370-0894x5954,Regular,Inactive,25-01-2023
142,Sandra Flowers,21-01-2003,Male,West Gabrielburgh,Michigan,hamptonralph@example.net,766-375-5228x86423,Premium,Active,29-12-2021
143,Kenneth Young,29-12-2005,Female,Powellshire,Arizona,kristen22@example.org,+1-638-514-0642x69419,Regular,Active,05-11-2021
144,Keith Beasley,02-10-2004,Male,West Andrewhaven,California,martinezstephanie@example.org,2722748079,VIP,Active,15-01-2023
145,Mr. Timothy Oconnell,17-10-1982,Female,East Angela,Colorado,juandickson@example.net,-9387,VIP,Inactive,26-10-2023
146,Jose Chapman,29-12-1993,Female,Lake Mikayla,Illinois,brocksusan@example.com,+1-341-879-2679x73593,New,Active,24-05-2024
147,Steven Smith,15-06-1960,Female,Port Jane,Illinois,kerriharris@example.net,409-701-5360x8485,Premium,Active,03-04-2025
148,Christopher Kelly,04-01-2010,Female,Port Jenniferville,Pennsylvania,daniel25@example.com,715.657.2189x4863,Regular,Active,09-01-2023
149,Donald Briggs,25-11-1989,Male,Schroederfurt,Georgia,lisaskinner@example.org,(301)939-8600,Regular,Active,16-02-2026
150,Suzanne Garrison,05-05-1997,Female,Claudiamouth,Florida,nmack@example.org,935.961.1923,Premium,Active,10-07-2022
151,Suzanne Gill,04-11-1984,Female,Port Thomasfurt,Ohio,jenniferharrison@example.com,+1-521-279-6133x069,New,Inactive,17-01-2026
152,Aaron Owens,29-01-1965,Male,Allenbury,Michigan,ariasdanielle@example.com,702-370-7112x282,Premium,Active,25-12-2025
153,Shawn Jones,09-02-1981,Female,New Deborahland,Virginia,mccarthydoris@example.net,876-308-3028x7313,New,Inactive,23-03-2026
154,Megan Miller,13-04-1987,Male,Port Nicole,North Carolina,davisjoshua@example.com,001-542-879-9530x11019,Regular,Active,11-12-2021
155,Mariah Hendricks,09-11-1977,Male,North Marytown,New York,melissajordan@example.org,(294)774-2445,VIP,Active,10-07-2023
156,Travis Rios,16-06-1973,Female,Farmermouth,Michigan,linda06@example.net,3534855035,Regular,Active,26-04-2022
157,Mark Richardson,23-10-1956,Male,South Evanhaven,Pennsylvania,santosamanda@example.com,613.834.0461x29792,Regular,Active,30-07-2025
158,Michael Clark,06-06-1965,Male,Christineshire,Arizona,dianaharper@example.net,(941)611-8015x1281,New,Active,13-10-2022
159,Dawn Foster,06-10-2005,Female,South Veronica,Florida,callahansteven@example.com,206.531.3554,Regular,Inactive,25-09-2023
160,Mary Collins,18-11-1954,Male,Henryberg,New York,ddavis@example.com,719-493-0140x425,Premium,Inactive,16-12-2021
161,Jacob Mills,28-10-1958,Male,Port Johnburgh,California,kathleen03@example.net,336.853.7400,Regular,Inactive,24-05-2025
162,Jeffrey Wilson,15-09-2000,Female,Petersfort,Massachusetts,sullivantodd@example.org,967.901.3145,Regular,Active,03-09-2022
163,Jordan Webb,12-11-1964,Male,New Cheryl,Texas,brodriguez@example.net,9386285311,Regular,Inactive,09-03-2023
164,Bonnie Roman,18-08-1978,Male,Coreyview,Florida,carlos77@example.com,(980)480-7083,Regular,Inactive,04-03-2026
165,Theresa Yang,03-08-1989,Female,Dianaburgh,Michigan,alexisellis@example.net,773-504-7234,VIP,Active,26-03-2022
166,Alexandria Vaughan,20-11-2006,Male,North Thomas,New York,nchambers@example.net,237.834.7435,Premium,Active,30-06-2023
167,Laura Carrillo,04-03-1961,Female,Port Mary,Georgia,cathyscott@example.com,488.762.4381x4622,Regular,Active,20-07-2023
168,Christopher Richards,18-09-2003,Male,Tylerview,Georgia,michellekrueger@example.com,001-861-306-1041x422,New,Active,19-10-2021
169,Martha Hunt,14-04-1982,Male,South Johnhaven,California,rachel83@example.com,794-696-2436,VIP,Active,10-09-2025
170,Lori Ruiz,02-03-1991,Female,Laurentown,Ohio,ralvarez@example.net,+1-727-753-6138x6623,Premium,Active,17-11-2021
171,Zachary Bowman,29-04-1973,Male,Danielhaven,Virginia,nicolegilbert@example.net,879-775-9855,Premium,Active,13-12-2023
172,Michael Martin,17-01-1961,Male,Daveport,Colorado,cynthiabush@example.org,(844)621-9790x309,Premium,Active,21-11-2023
173,Angelica Wright,06-04-1952,Male,East Greg,Ohio,andrewwilson@example.org,827.951.8554,Regular,Active,11-06-2025
174,Deborah Baker,03-01-2003,Female,New Brianview,Arizona,latoyadaniel@example.com,372.939.8026x64034,Regular,Active,27-02-2023
175,Michael Brock,04-03-1956,Female,New Christopher,Oregon,icunningham@example.org,793.217.3486,Regular,Inactive,26-05-2024
176,Earl Bowman,17-05-1952,Female,Mendezburgh,Georgia,valeriecowan@example.com,(620)237-5465,Regular,Active,29-01-2025
177,Frederick Young,30-12-1996,Male,Lake Natalie,Oregon,ujohnson@example.org,685.578.4111x96671,New,Active,26-01-2023
178,Jennifer Thornton,01-07-1977,Male,Chanmouth,Colorado,garciastephen@example.net,820-382-1790x415,Premium,Active,16-09-2025
179,Nancy Johnson,18-03-1959,Male,New Daniel,Illinois,stewartlori@example.net,(623)826-6551x37811,Regular,Active,12-12-2024
180,Donna Marshall,20-11-1978,Female,Lake Kristin,Florida,ruthhenry@example.net,230-248-7295x52536,Premium,Inactive,22-03-2026
181,Phillip Obrien,21-04-2002,Male,West Jeremymouth,Illinois,stefanie45@example.net,(466)641-3069x302,Regular,Active,06-05-2024
182,Ryan Anderson,18-09-1965,Male,Emilyton,Florida,paula25@example.org,001-380-387-5773x5531,Regular,Active,29-09-2024
183,Crystal Jones,24-02-1970,Male,South Joyceborough,Arizona,tbowman@example.com,(349)975-5459x1998,Regular,Inactive,24-08-2021
184,Crystal Clark,16-04-1977,Female,Saraville,Washington,murrayashley@example.org,001-226-512-8485x139,Regular,Inactive,30-07-2021
185,Brooke Walsh,10-07-1972,Female,South Jamesport,Florida,zachary27@example.net,001-280-229-6822x08195,New,Active,25-02-2026
186,Stephanie Lester,19-12-1962,Male,New Steven,North Carolina,annthomas@example.net,906.229.4943x638,Premium,Active,20-08-2021
187,Mitchell Goodman,24-01-1956,Male,New Jonathan,Virginia,jessethompson@example.org,001-917-293-4680,Regular,Active,19-07-2021
188,Robert Byrd,29-01-1977,Female,West Steve,Ohio,whitneyrogers@example.net,633.426.5964,Regular,Active,11-12-2021
189,Kevin Martinez,14-08-1988,Male,Isaiahfort,Georgia,lmack@example.com,747.883.7982x8231,Regular,Active,17-09-2023
190,Jeffery Bell,16-07-2008,Male,Brewermouth,Washington,williamskristen@example.com,(786)569-4280x256,Regular,Active,03-07-2023
191,Jennifer White,04-12-1970,Female,East Priscillatown,Oregon,lindsay77@example.com,(680)258-8571x546,Regular,Active,01-03-2026
192,Thomas Ryan,01-10-1972,Female,Patriciaport,Massachusetts,smartin@example.com,5132302243,Regular,Active,05-06-2023
193,Susan Rodriguez,19-09-1976,Male,New Andrea,California,mejiaedgar@example.org,2763612924,Premium,Active,13-02-2022
194,Michael Mccoy,17-11-1953,Male,South Fernandoburgh,Pennsylvania,chelseachambers@example.org,(416)456-6473x702,VIP,Active,17-02-2022
195,Mary Griffin,03-02-2004,Female,Port Scottshire,Ohio,hayesnicole@example.net,+1-256-282-0882x7262,VIP,Active,03-06-2025
196,Chelsea James,10-03-2001,Male,Cookfort,Illinois,lesliebennett@example.com,790.495.5849,Regular,Active,20-04-2023
197,Shannon Zhang,08-12-1984,Female,Conradton,Texas,ronniemiller@example.com,898-960-1921x6419,Regular,Active,15-03-2024
198,Jerry Richardson,24-06-2003,Female,South Maryport,Florida,calvinscott@example.com,888.986.9475,Regular,Active,01-07-2025
199,Roberta Phillips,08-01-2008,Female,West Dana,Illinois,qhodge@example.net,9773011037,Regular,Active,30-09-2021
200,Cathy Taylor,09-04-1994,Male,Lake Jacobhaven,Georgia,matthew23@example.com,844.903.2941,Regular,Inactive,17-03-2023
201,Erik Brown,04-04-1963,Female,Hallmouth,Ohio,mmorrow@example.com,(981)985-6227,Premium,Active,26-07-2023
202,Jonathan Mccann,07-07-2006,Male,Fernandoville,Florida,noah12@example.com,001-745-569-8250,VIP,Active,15-04-2024
203,Jacob Strickland,07-01-1978,Female,Timothyborough,Ohio,michaeljacobs@example.com,539-316-0381x3881,Regular,Active,23-03-2026
204,Megan Reeves MD,30-07-1991,Female,South Christopherview,Illinois,paula08@example.com,(698)720-9323x131,Regular,Inactive,28-01-2026
205,Alyssa Carlson DDS,04-01-1991,Female,Rodriguezview,Georgia,ronaldharrell@example.org,4067986255,Premium,Active,29-05-2023
206,Carla Hernandez,01-09-2005,Male,New Lauraville,Washington,kylebradley@example.org,-1089,Regular,Active,04-05-2023
207,Heather Ayala,24-01-2006,Female,Chapmanchester,Ohio,thomas03@example.net,6783309231,Premium,Active,19-07-2021
208,Blake Webster,16-12-1996,Female,New Kimberlymouth,Colorado,ginajackson@example.com,718-262-9071x20480,Regular,Active,25-03-2025
209,Kayla Jackson,01-09-1956,Male,South Jonathon,Texas,ddavis@example.org,001-636-713-6184x553,Premium,Active,03-03-2025
210,Jessica Moore,17-11-1963,Female,North Amyview,New York,reyeserin@example.com,417.497.4197,Regular,Active,28-06-2023
211,Allison Lopez,19-07-1954,Female,Port Jenniferland,Massachusetts,phamjohn@example.org,001-945-425-6427,Regular,Inactive,02-09-2023
212,Sharon Walsh,26-09-1950,Male,Lake Monica,Massachusetts,wilsonoscar@example.net,902.505.1495,Regular,Active,20-12-2021
213,Beth Kelly,11-03-1969,Male,New Joshua,Ohio,williambarnes@example.net,+1-820-684-4175x873,Premium,Inactive,10-07-2022
214,David Flores,08-02-1968,Female,Lake Shannon,Michigan,jenna75@example.org,001-253-836-4504x80556,Regular,Inactive,07-08-2025
